,number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,state
36,36,0.0013860169856343418,2024-12-19 13:39:46.644444,2024-12-19 13:39:48.120564,0 days 00:00:01.476120,0.30000000000000004,50,128,0.005281740862348429,1,COMPLETE
37,37,0.008587804157286882,2024-12-19 13:39:48.120821,2024-12-19 13:39:49.740530,0 days 00:00:01.619709,0.2,20,256,0.006231600421716589,2,COMPLETE
38,38,0.0246439715847373,2024-12-19 13:39:49.740808,2024-12-19 13:39:50.335619,0 days 00:00:00.594811,0.30000000000000004,10,128,0.004019295660782029,2,COMPLETE
39,39,0.001445259404135868,2024-12-19 13:39:50.335876,2024-12-19 13:39:51.341568,0 days 00:00:01.005692,0.5,50,64,0.007495697526162329,1,COMPLETE
40,40,0.0021754036424681544,2024-12-19 13:39:51.341830,2024-12-19 13:39:54.252616,0 days 00:00:02.910786,0.1,50,128,0.0025289208012756617,2,COMPLETE
41,41,0.0013639825046993792,2024-12-19 13:39:54.252883,2024-12-19 13:40:00.089850,0 days 00:00:05.836967,0.4,50,128,0.007079566823630102,4,COMPLETE
42,42,0.001124753092881292,2024-12-19 13:40:00.090123,2024-12-19 13:40:02.980853,0 days 00:00:02.890730,0.4,50,128,0.00810648332033415,2,COMPLETE
43,43,0.0015201434143818915,2024-12-19 13:40:02.981122,2024-12-19 13:40:07.348206,0 days 00:00:04.367084,0.5,50,128,0.00925396140005048,3,COMPLETE
44,44,0.0015834032674320042,2024-12-19 13:40:07.348487,2024-12-19 13:40:10.557088,0 days 00:00:03.208601,0.30000000000000004,50,128,0.009991537857479051,2,COMPLETE
45,45,0.011527125723659992,2024-12-19 13:40:10.557743,2024-12-19 13:40:11.857149,0 days 00:00:01.299406,0.4,20,128,0.004998881416155721,2,COMPLETE
46,46,0.04419107921421528,2024-12-19 13:40:11.857417,2024-12-19 13:40:19.069818,0 days 00:00:07.212401,0.30000000000000004,50,256,0.007574963073381694,3,COMPLETE
47,47,0.01912556402385235,2024-12-19 13:40:19.070190,2024-12-19 13:40:22.044470,0 days 00:00:02.974280,0.2,50,128,0.00015930789361514024,2,COMPLETE
48,48,0.00243543554097414,2024-12-19 13:40:22.044823,2024-12-19 13:40:28.361843,0 days 00:00:06.317020,0.5,50,128,0.005812465117524536,4,COMPLETE
49,49,0.006417763885110617,2024-12-19 13:40:28.362393,2024-12-19 13:40:28.975746,0 days 00:00:00.613353,0.4,10,128,0.00642548253381519,2,COMPLETE
50,50,0.002440664917230606,2024-12-19 13:40:28.976015,2024-12-19 13:40:31.935370,0 days 00:00:02.959355,0.30000000000000004,50,64,0.007307260901510807,3,COMPLETE
51,51,0.001287472143303603,2024-12-19 13:40:31.935678,2024-12-19 13:40:36.464933,0 days 00:00:04.529255,0.4,50,128,0.008399135370254019,3,COMPLETE
52,52,0.0010387273505330086,2024-12-19 13:40:36.465230,2024-12-19 13:40:41.001838,0 days 00:00:04.536608,0.4,50,128,0.008175158725954096,3,COMPLETE
53,53,0.001954410719918087,2024-12-19 13:40:41.002112,2024-12-19 13:40:45.405647,0 days 00:00:04.403535,0.4,50,128,0.008822767363925624,3,COMPLETE
54,54,0.0012199757038615644,2024-12-19 13:40:45.405913,2024-12-19 13:40:49.912249,0 days 00:00:04.506336,0.4,50,128,0.00675004986059221,3,COMPLETE
55,55,0.001093380356905982,2024-12-19 13:40:49.912526,2024-12-19 13:40:53.134098,0 days 00:00:03.221572,0.5,50,128,0.007850250866590136,2,COMPLETE
56,56,0.0013517679763026536,2024-12-19 13:40:53.134409,2024-12-19 13:40:57.549894,0 days 00:00:04.415485,0.4,50,128,0.009408240581380206,3,COMPLETE
57,57,0.04398854076862335,2024-12-19 13:40:57.550176,2024-12-19 13:41:06.151037,0 days 00:00:08.600861,0.4,50,256,0.008376360379140373,4,COMPLETE
58,58,0.0038310691015794873,2024-12-19 13:41:06.151394,2024-12-19 13:41:07.322430,0 days 00:00:01.171036,0.30000000000000004,20,128,0.009040505395335623,2,COMPLETE
59,59,0.0018928349600173533,2024-12-19 13:41:07.322692,2024-12-19 13:41:10.222402,0 days 00:00:02.899710,0.4,50,128,0.007665414071430641,2,COMPLETE
60,60,0.039573390036821365,2024-12-19 13:41:10.222737,2024-12-19 13:41:11.110833,0 days 00:00:00.888096,0.4,10,128,0.007054339232282641,3,COMPLETE
61,61,0.0013388467486947775,2024-12-19 13:41:11.111094,2024-12-19 13:41:15.780738,0 days 00:00:04.669644,0.5,50,128,0.009008229475965976,3,COMPLETE
62,62,0.0010658149258233607,2024-12-19 13:41:15.781072,2024-12-19 13:41:20.999948,0 days 00:00:05.218876,0.5,50,128,0.009650462255652442,3,COMPLETE
63,63,0.0013779173023067415,2024-12-19 13:41:21.000328,2024-12-19 13:41:25.963313,0 days 00:00:04.962985,0.5,50,128,0.008616984848275628,3,COMPLETE
64,64,0.0007302934245672077,2024-12-19 13:41:25.963602,2024-12-19 13:41:29.774096,0 days 00:00:03.810494,0.30000000000000004,50,128,0.006077373644171597,2,COMPLETE
65,65,0.0008141019789036363,2024-12-19 13:41:29.774888,2024-12-19 13:41:33.400279,0 days 00:00:03.625391,0.30000000000000004,50,128,0.0053836721881425085,2,COMPLETE
66,66,0.0019782541785389185,2024-12-19 13:41:33.400610,2024-12-19 13:41:36.564064,0 days 00:00:03.163454,0.30000000000000004,50,128,0.005582738400328689,2,COMPLETE
67,67,0.0015484342293348163,2024-12-19 13:41:36.564471,2024-12-19 13:41:38.618971,0 days 00:00:02.054500,0.2,50,64,0.0047000846381438826,2,COMPLETE
68,68,0.0015096590504981577,2024-12-19 13:41:38.619264,2024-12-19 13:41:41.812171,0 days 00:00:03.192907,0.30000000000000004,50,128,0.005327758743683806,2,COMPLETE
69,69,0.001172450720332563,2024-12-19 13:41:41.812476,2024-12-19 13:41:44.124184,0 days 00:00:02.311708,0.30000000000000004,50,256,0.006080844313026309,1,COMPLETE
70,70,0.003092265222221613,2024-12-19 13:41:44.124601,2024-12-19 13:41:45.754064,0 days 00:00:01.629463,0.30000000000000004,20,128,0.0065263292231979115,2,COMPLETE
71,71,0.0025597671046853065,2024-12-19 13:41:45.754949,2024-12-19 13:41:49.009391,0 days 00:00:03.254442,0.30000000000000004,50,128,0.005846750413276193,2,COMPLETE
72,72,0.0015953707625158131,2024-12-19 13:41:49.009729,2024-12-19 13:41:52.190303,0 days 00:00:03.180574,0.30000000000000004,50,128,0.007323776278852144,2,COMPLETE
73,73,0.0007557681819889694,2024-12-19 13:41:52.190584,2024-12-19 13:41:55.339821,0 days 00:00:03.149237,0.4,50,128,0.006364256674790415,2,COMPLETE
74,74,0.0009345092985313386,2024-12-19 13:41:55.340104,2024-12-19 13:41:58.547684,0 days 00:00:03.207580,0.4,50,128,0.006338756422587523,2,COMPLETE
75,75,0.0009726995485834777,2024-12-19 13:41:58.547970,2024-12-19 13:42:01.497252,0 days 00:00:02.949282,0.2,50,128,0.006764383219677339,2,COMPLETE
76,76,0.0022520190104842186,2024-12-19 13:42:01.497519,2024-12-19 13:42:04.410300,0 days 00:00:02.912781,0.30000000000000004,50,128,0.005328925255963296,2,COMPLETE
77,77,0.0362284854054451,2024-12-19 13:42:04.410572,2024-12-19 13:42:05.000460,0 days 00:00:00.589888,0.4,10,128,0.004323353997875129,2,COMPLETE
78,78,0.0020669150399044156,2024-12-19 13:42:05.000726,2024-12-19 13:42:06.476268,0 days 00:00:01.475542,0.30000000000000004,50,128,0.00600985860255633,1,COMPLETE
79,79,0.0011001919629052281,2024-12-19 13:42:06.476536,2024-12-19 13:42:08.465207,0 days 00:00:01.988671,0.30000000000000004,50,64,0.006973774484143426,2,COMPLETE
80,80,0.001443079992895946,2024-12-19 13:42:08.465584,2024-12-19 13:42:11.383159,0 days 00:00:02.917575,0.2,50,128,0.005715710815522055,2,COMPLETE
81,81,0.0009741875110194087,2024-12-19 13:42:11.383437,2024-12-19 13:42:14.277726,0 days 00:00:02.894289,0.4,50,128,0.0062709319329432005,2,COMPLETE
82,82,0.00186098093399778,2024-12-19 13:42:14.278009,2024-12-19 13:42:17.246770,0 days 00:00:02.968761,0.4,50,128,0.007402295838320364,2,COMPLETE
83,83,0.001021429619868286,2024-12-19 13:42:17.247047,2024-12-19 13:42:20.162927,0 days 00:00:02.915880,0.4,50,128,0.006624583468426391,2,COMPLETE
