,number,value,datetime_start,datetime_complete,duration,params_d_model_nhead,params_dim_feedforward,params_dropout,params_epochs,params_learning_rate,params_num_decoder_layers,params_num_encoder_layers,state
0,0,0.21850681088341786,2024-12-20 13:36:09.835057,2024-12-20 13:45:37.453682,0 days 00:09:27.618625,"448,4",256,0.2,200,0.006845043745855719,4,6,COMPLETE
1,1,0.21324266818678056,2024-12-20 13:36:09.852533,2024-12-20 13:52:17.330619,0 days 00:16:07.478086,"192,8",128,0.30000000000000004,500,0.006718198623281582,4,5,COMPLETE
2,2,0.21376865440803308,2024-12-20 13:36:09.853161,2024-12-20 13:42:39.824649,0 days 00:06:29.971488,"256,4",256,0.5,100,0.00914460693586845,4,4,COMPLETE
3,3,0.2160544635417925,2024-12-20 13:36:09.855660,2024-12-20 13:39:21.961049,0 days 00:03:12.105389,"64,2",256,0.2,100,0.005390427572519288,2,4,COMPLETE
4,4,0.2146910492860097,2024-12-20 13:36:09.856466,2024-12-20 13:52:17.416139,0 days 00:16:07.559673,"192,4",256,0.2,500,0.008164220644773715,5,3,COMPLETE
5,5,0.21316442382170767,2024-12-20 13:36:09.857069,2024-12-20 13:52:17.314677,0 days 00:16:07.457608,"192,8",128,0.4,500,0.009489182260128553,4,5,COMPLETE
6,6,0.21373258384181923,2024-12-20 13:36:09.858090,2024-12-20 13:42:01.065665,0 days 00:05:51.207575,"256,8",384,0.2,100,0.008787215056488336,6,5,COMPLETE
