model,runtime,mse,rmse,mae,mape
AutoNHITS_336_24,1877.8267667293549,38264816.25909142,6185.856146006907,4331.448863932292,0.09788124623011529
AutoNHITS_336_24,1022.3126242160796,43913358.6358313,6626.715523985567,4668.633276692708,0.106291009904802
