,Energy_Consumption,Session_Count,Day_of_Week,Hour_of_Day,Month_of_Year,Year,Day/Night,IsHoliday,Weekend,HourSin,HourCos,DayOfWeekSin,DayOfWeekCos,MonthOfYearSin,MonthOfYearCos,Season,Energy_Consumption_1h,Energy_Consumption_6h,Energy_Consumption_12h,Energy_Consumption_24h,Energy_Consumption_1w,Energy_Consumption_rolling
2021-05-30 00:00:00,0.3364349442379182,1,6,0,5,2021,False,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,5.885373771547437,1.9046822510613035,1.9825492388918666
2021-05-30 00:15:00,0.3364349442379182,1,6,0,5,2021,False,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,7.433159253670947,1.9046822510613035,1.6868523926654901
2021-05-30 00:30:00,0.3364349442379182,1,6,0,5,2021,False,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,7.433159253670947,1.9046822510613035,1.391155546439114
2021-05-30 00:45:00,0.3364349442379182,1,6,0,5,2021,False,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,7.329429523941218,1.4729134244413384,1.09978077228481
2021-05-30 01:00:00,0.3364349442379182,1,6,1,5,2021,False,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,5.711685881042293,0.9794633368756642,0.8758119832512943
2021-05-30 01:15:00,0.3364349442379182,1,6,1,5,2021,False,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,4.296847647632983,0.9794633368756642,0.7107947872764999
2021-05-30 01:30:00,0.3364349442379182,1,6,1,5,2021,False,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,2.1745291210891042,0.9794633368756642,0.6342075299077005
2021-05-30 01:45:00,0.3364349442379182,1,6,1,5,2021,False,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,1.8678368133967964,0.9794633368756642,0.5703991186927472
2021-05-30 02:00:00,0.3364349442379182,1,6,2,5,2021,False,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,1.8678368133967964,1.297301174713502,0.506590707477794
2021-05-30 02:15:00,0.3364349442379182,1,6,2,5,2021,False,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0.3364349442379182,0.3364349442379182,0.3364349442379182,1.8678368133967964,1.9329768503891778,0.44278229626284077
