,Energy_Consumption,Session_Count,Day_of_Week,Hour_of_Day,Month_of_Year,Year,Day/Night,IsHoliday,Weekend,HourSin,HourCos,DayOfWeekSin,DayOfWeekCos,MonthOfYearSin,MonthOfYearCos,Season,Energy_Consumption_1h,Energy_Consumption_6h,Energy_Consumption_12h,Energy_Consumption_24h,Energy_Consumption_1w,Energy_Consumption_rolling
2021-11-30 00:00:00,3.5459805939429585,1,1,0,11,2021,False,0,0,0.0,1.0,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,,,,,,
2021-11-30 01:00:00,4.342017053807703,1,1,1,11,2021,False,0,0,0.25881904510252074,0.9659258262890683,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,3.5459805939429585,,,,,
2021-11-30 02:00:00,0.3160023522493385,1,1,2,11,2021,False,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,4.342017053807703,,,,,
2021-11-30 03:00:00,0.0,0,1,3,11,2021,False,0,0,0.7071067811865475,0.7071067811865476,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,0.3160023522493385,,,,,
2021-11-30 04:00:00,0.0,0,1,4,11,2021,False,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,0.0,,,,,
2021-11-30 05:00:00,0.0,0,1,5,11,2021,False,0,0,0.9659258262890683,0.25881904510252074,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,0.0,,,,,
2021-11-30 06:00:00,0.0,0,1,6,11,2021,True,0,0,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,0.0,3.5459805939429585,,,,
2021-11-30 07:00:00,7.8074477082144185,3,1,7,11,2021,True,0,0,0.9659258262890683,-0.25881904510252063,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,0.0,4.342017053807703,,,,
2021-11-30 08:00:00,18.809151933292767,8,1,8,11,2021,True,0,0,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,7.8074477082144185,0.3160023522493385,,,,
2021-11-30 09:00:00,28.035011198799147,7,1,9,11,2021,True,0,0,0.7071067811865476,-0.7071067811865475,0.7818314824680297,0.6234898018587336,-0.5000000000000004,0.8660254037844384,Autumn,18.809151933292767,0.0,,,,
