,params,rmse
91,"(2, 1, 0)x(1, 1, 1, 12)",1908.438406910606
92,"(0, 1, 0)x(2, 1, 0, 12)",1915.6207088398087
93,"(2, 0, 0)x(1, 2, 0, 12)",1916.511398265038
94,"(0, 1, 0)x(1, 1, 1, 12)",1921.7052068888286
95,"(2, 1, 2)x(2, 1, 0, 12)",1925.9520788839213
96,"(0, 0, 2)x(1, 2, 0, 12)",1932.7892042193862
97,"(1, 2, 2)x(2, 1, 1, 12)",1939.1002883492176
98,"(2, 0, 1)x(1, 1, 2, 12)",1945.2813118808133
99,"(1, 2, 1)x(1, 1, 2, 12)",1947.6708503995155
100,"(2, 1, 2)x(2, 2, 1, 12)",1949.7967970475522
101,"(2, 2, 2)x(2, 0, 0, 12)",1955.614582479935
102,"(2, 1, 0)x(2, 2, 0, 12)",1962.392873568751
103,"(1, 0, 2)x(2, 0, 0, 12)",1969.2530264209518
104,"(2, 0, 2)x(2, 1, 1, 12)",1976.147156959104
105,"(1, 0, 0)x(1, 1, 1, 12)",1988.1712261926134
106,"(0, 0, 1)x(1, 1, 0, 12)",1991.7552846512133
107,"(1, 0, 2)x(2, 2, 1, 12)",1992.8085682560375
108,"(0, 0, 2)x(1, 1, 0, 12)",1995.4847383200863
109,"(0, 1, 1)x(1, 1, 1, 12)",2004.7837885935342
110,"(2, 0, 2)x(2, 1, 2, 12)",2009.980546230851
111,"(1, 2, 1)x(2, 0, 1, 12)",2022.439317468798
112,"(2, 0, 0)x(2, 2, 0, 12)",2024.6060275469038
113,"(2, 0, 0)x(2, 2, 1, 12)",2026.5856935966153
114,"(1, 0, 0)x(1, 2, 1, 12)",2029.6896593008946
115,"(2, 1, 1)x(2, 2, 2, 12)",2032.2980548217656
116,"(0, 1, 1)x(2, 1, 2, 12)",2033.3932145912113
117,"(0, 1, 0)x(2, 1, 2, 12)",2049.278919126394
118,"(0, 2, 1)x(2, 0, 1, 12)",2053.3886819922614
119,"(2, 2, 2)x(1, 1, 2, 12)",2062.2651763572476
120,"(0, 2, 2)x(1, 1, 1, 12)",2069.151276755532
121,"(2, 0, 2)x(2, 2, 0, 12)",2081.4432534885436
122,"(2, 1, 2)x(1, 2, 0, 12)",2082.246699353421
123,"(0, 0, 1)x(2, 2, 0, 12)",2083.2966805278725
124,"(1, 1, 1)x(2, 0, 2, 12)",2088.6403275810353
125,"(1, 1, 1)x(2, 1, 2, 12)",2090.2945113295136
126,"(1, 0, 1)x(1, 2, 2, 12)",2098.7165835731453
127,"(1, 2, 2)x(1, 2, 1, 12)",2102.1510092465287
128,"(0, 1, 1)x(2, 0, 2, 12)",2102.2729781863554
129,"(0, 0, 1)x(2, 1, 0, 12)",2107.998390997111
130,"(0, 2, 1)x(2, 2, 0, 12)",2110.54815043394
131,"(1, 1, 0)x(2, 2, 0, 12)",2117.1863266514592
132,"(2, 1, 2)x(1, 1, 2, 12)",2122.5449096890234
133,"(1, 0, 1)x(2, 2, 0, 12)",2125.0319930448018
134,"(0, 0, 2)x(2, 1, 1, 12)",2130.1662118991753
135,"(2, 1, 2)x(2, 2, 2, 12)",2135.6962214200526
136,"(0, 1, 1)x(2, 2, 2, 12)",2161.312917358539
137,"(2, 1, 1)x(2, 2, 0, 12)",2164.896294208883
138,"(2, 1, 2)x(2, 0, 1, 12)",2170.146764945813
139,"(0, 1, 0)x(2, 0, 2, 12)",2173.4549060910576
140,"(1, 0, 0)x(2, 1, 0, 12)",2184.14350039002
141,"(2, 1, 2)x(2, 1, 2, 12)",2184.1929381783634
142,"(2, 0, 2)x(2, 2, 1, 12)",2188.8140335562125
143,"(2, 1, 2)x(2, 1, 1, 12)",2214.2314323854403
144,"(1, 0, 2)x(2, 2, 2, 12)",2226.6040416438386
145,"(2, 1, 2)x(2, 2, 0, 12)",2227.072003397195
146,"(1, 2, 1)x(2, 2, 0, 12)",2237.007141349146
147,"(2, 0, 1)x(2, 1, 0, 12)",2237.574196044801
148,"(0, 1, 2)x(2, 0, 2, 12)",2239.165234842096
149,"(2, 2, 2)x(1, 2, 0, 12)",2240.054790402006
150,"(1, 1, 2)x(1, 2, 1, 12)",2240.997695574465
151,"(1, 0, 1)x(2, 2, 2, 12)",2249.962922762513
152,"(0, 1, 2)x(2, 2, 1, 12)",2254.126430690002
153,"(0, 2, 1)x(1, 2, 0, 12)",2256.2979264442615
154,"(1, 0, 2)x(1, 1, 2, 12)",2269.178712406211
155,"(1, 1, 0)x(2, 0, 2, 12)",2269.3123791888092
156,"(2, 2, 2)x(2, 0, 1, 12)",2273.83662781268
157,"(1, 0, 1)x(1, 2, 1, 12)",2290.866231277044
158,"(1, 0, 1)x(2, 2, 1, 12)",2297.010090208932
159,"(0, 2, 2)x(2, 2, 0, 12)",2303.4392790262077
160,"(1, 0, 2)x(2, 1, 2, 12)",2304.0150660945237
161,"(0, 1, 0)x(2, 2, 0, 12)",2305.17998530282
162,"(0, 2, 1)x(1, 2, 2, 12)",2313.108428686913
163,"(2, 2, 0)x(2, 2, 0, 12)",2313.20556192614
164,"(2, 0, 2)x(1, 1, 0, 12)",2334.645777954087
165,"(0, 0, 1)x(1, 2, 1, 12)",2337.1709860138226
166,"(0, 0, 1)x(1, 2, 0, 12)",2346.403308886639
167,"(0, 2, 2)x(2, 0, 1, 12)",2384.2401540154383
168,"(0, 0, 2)x(1, 1, 1, 12)",2386.137512036656
169,"(1, 1, 1)x(2, 2, 0, 12)",2401.2674037005117
170,"(1, 1, 2)x(2, 1, 0, 12)",2406.704078687325
171,"(2, 0, 2)x(1, 2, 2, 12)",2408.9070939332346
172,"(2, 1, 0)x(2, 0, 0, 12)",2413.5663132275727
173,"(1, 1, 1)x(2, 1, 0, 12)",2422.5612001419104
174,"(2, 1, 0)x(2, 0, 1, 12)",2425.2842015559745
175,"(1, 2, 2)x(2, 0, 0, 12)",2427.2211664997676
176,"(0, 1, 1)x(2, 0, 1, 12)",2433.0778436622268
177,"(2, 0, 2)x(2, 1, 0, 12)",2435.870840173165
178,"(2, 0, 1)x(2, 2, 1, 12)",2438.5335709972414
179,"(1, 2, 1)x(2, 0, 0, 12)",2440.452561623096
180,"(0, 0, 0)x(1, 1, 0, 12)",2441.307611660827
181,"(1, 2, 1)x(1, 2, 0, 12)",2445.327246106348
182,"(2, 0, 1)x(2, 1, 2, 12)",2445.8517082093126
183,"(1, 1, 1)x(2, 0, 1, 12)",2456.030840565414
184,"(2, 1, 0)x(1, 2, 0, 12)",2457.8528402072943
185,"(1, 0, 0)x(2, 1, 2, 12)",2458.1901506904733
186,"(0, 0, 0)x(1, 1, 2, 12)",2459.0866790224104
187,"(1, 0, 1)x(2, 1, 2, 12)",2460.7623584120456
188,"(0, 1, 2)x(2, 1, 2, 12)",2466.410938812998
189,"(1, 0, 2)x(2, 1, 1, 12)",2474.4455210049623
190,"(0, 1, 0)x(2, 1, 1, 12)",2476.4358847450712
191,"(0, 1, 2)x(2, 0, 0, 12)",2503.304195980428
192,"(0, 1, 2)x(2, 0, 1, 12)",2518.6582330560123
193,"(1, 1, 1)x(2, 0, 0, 12)",2521.355836059502
194,"(0, 0, 1)x(2, 1, 2, 12)",2524.8473015537243
195,"(2, 0, 0)x(2, 2, 2, 12)",2534.409514458109
196,"(0, 1, 0)x(2, 0, 1, 12)",2543.526441074949
197,"(0, 2, 2)x(2, 1, 0, 12)",2543.9643530298763
198,"(1, 0, 2)x(1, 2, 2, 12)",2544.376712393933
199,"(0, 1, 0)x(2, 0, 0, 12)",2546.010290745951
200,"(1, 2, 2)x(2, 0, 1, 12)",2546.730042536363
201,"(2, 1, 2)x(2, 0, 2, 12)",2548.7621108135336
202,"(1, 2, 0)x(1, 2, 1, 12)",2554.9677688469505
203,"(0, 0, 2)x(2, 2, 2, 12)",2558.6794279702644
204,"(0, 1, 1)x(2, 0, 0, 12)",2564.2846247201705
205,"(2, 0, 0)x(1, 2, 2, 12)",2570.3402109338567
206,"(2, 1, 2)x(2, 0, 0, 12)",2570.5367230695056
207,"(0, 0, 0)x(2, 1, 2, 12)",2573.2424820940005
208,"(0, 0, 0)x(1, 1, 1, 12)",2578.1207275909815
209,"(2, 2, 1)x(1, 1, 0, 12)",2585.6928774086605
210,"(1, 0, 0)x(2, 2, 2, 12)",2585.8519919366813
211,"(1, 0, 2)x(1, 2, 0, 12)",2602.646728310034
212,"(2, 2, 1)x(2, 0, 1, 12)",2609.186446225884
213,"(1, 2, 0)x(1, 1, 0, 12)",2609.5114682162352
214,"(1, 0, 0)x(2, 2, 0, 12)",2619.0956470672254
215,"(1, 2, 0)x(2, 1, 0, 12)",2635.241525175655
216,"(0, 0, 0)x(2, 1, 0, 12)",2653.664430041253
217,"(2, 1, 1)x(2, 1, 1, 12)",2657.6505116130643
218,"(0, 2, 2)x(1, 2, 0, 12)",2664.7104004163257
219,"(0, 2, 2)x(1, 1, 0, 12)",2681.307369492836
220,"(1, 2, 1)x(1, 1, 1, 12)",2696.6769381930335
221,"(0, 0, 0)x(2, 1, 1, 12)",2713.7170796746727
222,"(0, 2, 1)x(2, 1, 0, 12)",2746.810694850026
223,"(0, 1, 0)x(1, 2, 0, 12)",2749.0509718201884
224,"(1, 1, 0)x(2, 0, 0, 12)",2754.832591595514
225,"(1, 1, 0)x(2, 0, 1, 12)",2757.3774514339507
226,"(0, 2, 1)x(1, 2, 1, 12)",2772.13149781093
227,"(2, 2, 1)x(2, 0, 0, 12)",2788.8714720034113
228,"(1, 2, 1)x(1, 2, 1, 12)",2792.3309988077804
229,"(0, 2, 2)x(2, 2, 1, 12)",2802.4542603950663
230,"(2, 0, 1)x(1, 2, 1, 12)",2814.7785290694583
231,"(1, 1, 1)x(1, 2, 0, 12)",2816.238351611093
232,"(0, 0, 0)x(2, 2, 0, 12)",2818.9715929900813
233,"(1, 2, 2)x(2, 1, 0, 12)",2854.1291828741596
234,"(2, 2, 2)x(1, 1, 0, 12)",2874.739554867822
235,"(1, 2, 1)x(1, 1, 0, 12)",2874.9142600694468
236,"(0, 2, 1)x(1, 1, 1, 12)",2875.586519357196
237,"(1, 2, 2)x(1, 1, 0, 12)",2890.157297678647
238,"(1, 2, 1)x(2, 1, 1, 12)",2900.5255932146642
239,"(2, 2, 2)x(2, 1, 0, 12)",2921.0941567568766
240,"(2, 1, 0)x(2, 1, 1, 12)",2927.841000214678
