,params,rmse
93,"(0, 1, 0)x(1, 2, 1, 12)",7053.751877267999
94,"(1, 1, 0)x(2, 0, 1, 12)",7070.242236557769
95,"(2, 1, 0)x(2, 0, 0, 12)",7070.5092957286015
96,"(0, 1, 0)x(2, 2, 1, 12)",7076.424894745092
97,"(0, 1, 0)x(1, 2, 2, 12)",7079.5675371964935
98,"(1, 1, 2)x(2, 0, 0, 12)",7093.408383125751
99,"(1, 1, 1)x(2, 0, 0, 12)",7094.628742476364
100,"(0, 1, 1)x(2, 0, 0, 12)",7097.166328234101
101,"(2, 0, 2)x(2, 1, 2, 12)",7112.65540869138
102,"(1, 1, 2)x(1, 1, 2, 12)",7130.312072998045
103,"(0, 1, 0)x(2, 0, 0, 12)",7134.768262818276
104,"(2, 0, 0)x(2, 1, 0, 12)",7139.604157967643
105,"(1, 0, 1)x(1, 1, 1, 12)",7153.626108519488
106,"(1, 1, 1)x(1, 1, 2, 12)",7162.3053567019
107,"(0, 1, 2)x(2, 0, 1, 12)",7171.3639275543455
108,"(2, 1, 1)x(2, 0, 0, 12)",7171.748486097109
109,"(2, 1, 0)x(2, 0, 1, 12)",7183.456732154398
110,"(1, 1, 1)x(2, 0, 1, 12)",7188.992025600044
111,"(0, 1, 1)x(2, 0, 1, 12)",7191.703284233713
112,"(0, 1, 2)x(1, 1, 2, 12)",7233.254830103485
113,"(2, 1, 1)x(2, 0, 1, 12)",7245.307286222378
114,"(2, 0, 1)x(1, 2, 2, 12)",7287.796494825342
115,"(2, 1, 0)x(1, 1, 1, 12)",7317.630437842675
116,"(0, 2, 2)x(1, 0, 2, 12)",7440.833498250085
117,"(0, 1, 1)x(1, 0, 2, 12)",7483.571435043575
118,"(0, 1, 1)x(2, 0, 2, 12)",7623.4811533384045
119,"(0, 0, 1)x(1, 1, 0, 12)",7630.24918307661
120,"(1, 2, 1)x(1, 1, 2, 12)",7654.861930316377
121,"(2, 1, 0)x(2, 2, 1, 12)",7673.085813193606
122,"(2, 0, 1)x(2, 1, 0, 12)",7673.13175654236
123,"(2, 0, 1)x(1, 1, 1, 12)",7695.35679771077
124,"(2, 0, 0)x(2, 0, 1, 12)",7746.41351791757
125,"(1, 1, 1)x(2, 0, 2, 12)",7965.047019847632
126,"(1, 0, 1)x(2, 1, 1, 12)",8000.025557519956
127,"(2, 2, 1)x(2, 0, 1, 12)",8000.479697009823
128,"(1, 0, 0)x(2, 1, 1, 12)",8033.63947009156
129,"(1, 2, 2)x(1, 1, 0, 12)",8043.418521317775
130,"(2, 1, 2)x(2, 0, 0, 12)",8078.309746912673
131,"(1, 2, 2)x(1, 0, 2, 12)",8184.534785716218
132,"(1, 0, 1)x(1, 2, 1, 12)",8215.655906902875
133,"(1, 1, 0)x(2, 1, 2, 12)",8263.117856132594
134,"(2, 0, 2)x(2, 2, 2, 12)",8291.072999285438
135,"(1, 0, 0)x(1, 2, 1, 12)",8303.697507399322
136,"(2, 1, 2)x(2, 1, 0, 12)",8304.5210120214
137,"(1, 0, 1)x(2, 0, 1, 12)",8316.652521924541
138,"(2, 1, 2)x(1, 1, 2, 12)",8372.836497133452
139,"(1, 0, 2)x(2, 0, 2, 12)",8409.220791160533
140,"(0, 1, 1)x(1, 2, 2, 12)",8486.584659685393
141,"(0, 1, 2)x(2, 2, 1, 12)",8502.676542838786
142,"(2, 2, 0)x(2, 1, 0, 12)",8533.628003224796
143,"(0, 2, 2)x(2, 1, 1, 12)",8565.370758552332
144,"(0, 0, 2)x(1, 1, 0, 12)",8605.085133217392
145,"(2, 1, 2)x(1, 2, 2, 12)",8626.049043428113
146,"(1, 2, 1)x(2, 0, 2, 12)",8640.206516653257
147,"(0, 1, 1)x(1, 2, 1, 12)",8692.114287357368
148,"(0, 1, 2)x(1, 1, 0, 12)",8695.438079801426
149,"(1, 1, 1)x(2, 1, 0, 12)",8711.215178422592
150,"(0, 0, 1)x(1, 1, 2, 12)",8758.652631956767
151,"(0, 1, 1)x(1, 1, 0, 12)",8767.999617228998
152,"(1, 1, 2)x(1, 1, 0, 12)",8784.576951030325
153,"(0, 1, 1)x(2, 1, 0, 12)",8786.97070338977
154,"(2, 0, 2)x(1, 1, 0, 12)",8793.073060540795
155,"(2, 0, 2)x(1, 1, 1, 12)",8824.718150892862
156,"(2, 2, 1)x(2, 1, 1, 12)",8851.213445571146
157,"(2, 0, 2)x(0, 1, 2, 12)",9079.615017759716
158,"(2, 0, 1)x(0, 1, 2, 12)",9133.966397154032
159,"(2, 0, 0)x(0, 1, 2, 12)",9135.055640436138
160,"(1, 0, 1)x(0, 1, 2, 12)",9138.410550144163
161,"(2, 1, 0)x(1, 0, 2, 12)",9162.507577189872
162,"(2, 1, 2)x(1, 0, 2, 12)",9173.090573273654
163,"(0, 0, 1)x(1, 0, 2, 12)",9177.024322914345
164,"(2, 0, 2)x(0, 1, 1, 12)",9191.104700265998
165,"(0, 0, 0)x(1, 0, 2, 12)",9192.112022086267
166,"(2, 0, 2)x(1, 0, 1, 12)",9202.853543461511
167,"(1, 1, 2)x(0, 1, 2, 12)",9210.003229209531
168,"(1, 1, 1)x(1, 0, 2, 12)",9222.414986675669
169,"(1, 1, 1)x(0, 1, 2, 12)",9228.10685664941
170,"(1, 0, 0)x(2, 2, 0, 12)",9241.456694078915
171,"(0, 0, 1)x(0, 1, 1, 12)",9246.886614913337
172,"(0, 1, 2)x(0, 1, 2, 12)",9253.399959169805
173,"(1, 1, 0)x(0, 1, 1, 12)",9280.95679358625
174,"(1, 0, 0)x(1, 0, 2, 12)",9322.108595607997
175,"(2, 1, 2)x(0, 1, 1, 12)",9336.576022234776
176,"(0, 0, 0)x(0, 1, 1, 12)",9345.15565348169
177,"(0, 0, 1)x(1, 0, 1, 12)",9353.002188149845
178,"(1, 1, 1)x(0, 1, 1, 12)",9363.015377182222
179,"(1, 0, 2)x(0, 2, 2, 12)",9379.999135270515
180,"(2, 0, 1)x(0, 2, 2, 12)",9384.891968452399
181,"(2, 1, 0)x(0, 1, 2, 12)",9390.817524230628
182,"(1, 1, 2)x(0, 1, 1, 12)",9488.156345841779
183,"(0, 1, 2)x(0, 1, 1, 12)",9495.21798597508
184,"(2, 1, 1)x(0, 1, 1, 12)",9505.875203032003
185,"(2, 0, 0)x(0, 2, 2, 12)",9541.369843045557
186,"(0, 1, 1)x(0, 1, 1, 12)",9562.037086415754
187,"(2, 0, 2)x(1, 0, 2, 12)",9568.853616799392
188,"(1, 0, 2)x(1, 0, 2, 12)",9577.393640046585
189,"(0, 1, 1)x(0, 0, 2, 12)",9590.028614747613
190,"(1, 1, 2)x(0, 0, 2, 12)",9590.416762272342
191,"(2, 1, 1)x(0, 0, 2, 12)",9591.621672504836
192,"(1, 0, 1)x(0, 0, 2, 12)",9591.68669236071
193,"(0, 1, 2)x(0, 0, 2, 12)",9603.91698892742
194,"(1, 1, 1)x(0, 0, 2, 12)",9615.209874006074
195,"(2, 1, 2)x(0, 0, 2, 12)",9633.114372190608
196,"(2, 0, 0)x(1, 0, 1, 12)",9656.768875476286
197,"(2, 1, 2)x(1, 0, 0, 12)",9694.95816884983
198,"(2, 1, 2)x(0, 2, 2, 12)",9719.841134601045
199,"(2, 1, 0)x(0, 0, 2, 12)",9720.833504451772
200,"(0, 1, 1)x(2, 1, 1, 12)",9747.291233683465
201,"(2, 2, 1)x(0, 0, 0, 12)",9769.167795529627
202,"(0, 2, 2)x(0, 0, 0, 12)",9772.363540607028
203,"(0, 1, 0)x(0, 0, 0, 12)",9777.481314930206
204,"(0, 1, 0)x(0, 0, 1, 12)",9778.337427430251
205,"(2, 1, 2)x(0, 0, 1, 12)",9793.250393365232
206,"(0, 1, 0)x(1, 0, 0, 12)",9793.396077141922
207,"(1, 1, 0)x(0, 0, 2, 12)",9799.459988905995
208,"(0, 2, 2)x(0, 0, 1, 12)",9838.840247255237
209,"(2, 1, 2)x(0, 0, 0, 12)",9839.100331530892
210,"(2, 1, 0)x(0, 0, 0, 12)",9841.421979546294
211,"(1, 0, 2)x(1, 0, 1, 12)",9857.050808368562
212,"(0, 2, 1)x(1, 1, 1, 12)",9879.09320496375
213,"(0, 0, 0)x(2, 2, 0, 12)",9890.472431659971
214,"(2, 2, 2)x(0, 0, 0, 12)",9892.299829322168
215,"(1, 0, 0)x(0, 1, 2, 12)",9899.543893515092
216,"(2, 1, 0)x(0, 0, 1, 12)",9900.037505881233
217,"(2, 1, 2)x(0, 1, 2, 12)",9901.918961706728
218,"(0, 2, 2)x(1, 0, 0, 12)",9905.562100953877
219,"(0, 0, 2)x(0, 2, 2, 12)",9914.48817526124
220,"(0, 0, 1)x(0, 1, 2, 12)",9932.946789248303
221,"(2, 1, 0)x(1, 0, 0, 12)",9944.993910053616
222,"(1, 2, 2)x(0, 0, 2, 12)",9947.880599973381
223,"(0, 2, 1)x(0, 1, 2, 12)",9953.942040905118
224,"(1, 0, 1)x(1, 0, 1, 12)",9981.789845043824
225,"(2, 1, 0)x(0, 1, 1, 12)",9993.397808013977
226,"(2, 2, 2)x(0, 0, 1, 12)",9998.88078772632
227,"(1, 1, 0)x(1, 0, 2, 12)",10023.674477430508
228,"(2, 2, 2)x(1, 0, 0, 12)",10037.440110088077
229,"(2, 0, 2)x(0, 1, 0, 12)",10052.275321020988
230,"(1, 0, 0)x(0, 0, 2, 12)",10111.110587371302
231,"(2, 0, 0)x(1, 0, 2, 12)",10135.743602620938
232,"(1, 0, 2)x(2, 2, 2, 12)",10181.190845077852
233,"(1, 2, 2)x(0, 0, 0, 12)",10185.060587841488
234,"(2, 2, 2)x(0, 0, 2, 12)",10208.298601259174
235,"(0, 1, 0)x(0, 1, 2, 12)",10221.118506657098
236,"(0, 1, 0)x(0, 0, 2, 12)",10233.21853539811
237,"(0, 2, 1)x(1, 1, 0, 12)",10293.29723601171
238,"(0, 0, 0)x(0, 1, 2, 12)",10301.685787304656
239,"(0, 0, 2)x(0, 1, 2, 12)",10309.629395940074
240,"(1, 2, 2)x(0, 0, 1, 12)",10326.1696309363
241,"(1, 0, 0)x(1, 0, 1, 12)",10328.429775523295
242,"(2, 1, 1)x(0, 0, 0, 12)",10343.179400128516
243,"(0, 1, 1)x(0, 0, 0, 12)",10344.984576655337
244,"(0, 0, 2)x(0, 1, 1, 12)",10349.848008073184
245,"(2, 0, 0)x(0, 1, 1, 12)",10352.36897918256
246,"(2, 0, 1)x(0, 1, 1, 12)",10375.19117276449
247,"(1, 0, 2)x(0, 1, 1, 12)",10384.003441502913
248,"(1, 1, 2)x(0, 0, 0, 12)",10387.241532904447
249,"(1, 0, 1)x(0, 1, 1, 12)",10397.221653523578
250,"(2, 1, 1)x(1, 2, 1, 12)",10406.39958208348
251,"(1, 0, 0)x(0, 1, 1, 12)",10406.640437845406
252,"(1, 2, 2)x(1, 0, 0, 12)",10428.871964543969
253,"(2, 1, 1)x(0, 0, 1, 12)",10435.912254784265
254,"(0, 1, 1)x(0, 0, 1, 12)",10438.819059821599
255,"(0, 2, 2)x(0, 0, 2, 12)",10441.794048350506
256,"(2, 1, 1)x(1, 0, 0, 12)",10492.929895208516
257,"(0, 1, 1)x(2, 2, 1, 12)",10498.91280515815
258,"(0, 1, 1)x(1, 0, 0, 12)",10515.379857762042
259,"(1, 1, 2)x(0, 0, 1, 12)",10529.809805516234
260,"(2, 2, 1)x(1, 0, 2, 12)",10540.029302482708
261,"(1, 0, 0)x(0, 2, 2, 12)",10542.010949294337
262,"(0, 1, 2)x(0, 0, 0, 12)",10543.806390592938
263,"(2, 2, 1)x(2, 0, 0, 12)",10627.710292907637
264,"(1, 1, 2)x(1, 0, 0, 12)",10658.799916947992
265,"(0, 1, 2)x(0, 0, 1, 12)",10685.379114878262
266,"(1, 1, 0)x(2, 0, 2, 12)",10758.24307086947
267,"(1, 2, 2)x(2, 0, 0, 12)",10784.263650004877
268,"(0, 1, 2)x(1, 0, 0, 12)",10806.03240154151
269,"(2, 2, 1)x(1, 1, 1, 12)",10821.669772948097
270,"(2, 0, 2)x(0, 2, 2, 12)",10841.424351506654
271,"(1, 1, 1)x(0, 0, 0, 12)",10863.290597436373
272,"(2, 0, 1)x(1, 2, 1, 12)",10902.78859353792
273,"(0, 1, 0)x(0, 1, 1, 12)",10911.595618770161
274,"(2, 2, 1)x(0, 0, 2, 12)",10917.7108948546
275,"(1, 1, 1)x(0, 2, 2, 12)",10925.574139968658
276,"(0, 2, 2)x(2, 0, 0, 12)",10951.152786165852
277,"(1, 1, 1)x(0, 0, 1, 12)",10971.20840353068
278,"(0, 0, 2)x(2, 2, 1, 12)",10972.789425489478
279,"(2, 0, 1)x(1, 2, 0, 12)",10973.80699735147
280,"(1, 1, 1)x(1, 0, 0, 12)",11036.359171728607
281,"(2, 1, 0)x(0, 2, 2, 12)",11070.97011755093
282,"(2, 2, 2)x(0, 1, 2, 12)",11100.579994904392
283,"(0, 0, 1)x(1, 2, 0, 12)",11105.196543217802
284,"(2, 2, 1)x(0, 1, 2, 12)",11112.110674047883
285,"(0, 2, 1)x(2, 1, 1, 12)",11152.966811546541
286,"(2, 0, 0)x(0, 1, 0, 12)",11214.869416910531
287,"(2, 2, 1)x(2, 1, 0, 12)",11265.495023877394
288,"(1, 0, 2)x(1, 1, 0, 12)",11269.037316206533
289,"(2, 1, 0)x(1, 1, 0, 12)",11296.068088468637
290,"(2, 0, 1)x(1, 1, 0, 12)",11306.405274486038
291,"(0, 1, 1)x(0, 1, 2, 12)",11307.022067952641
292,"(2, 1, 0)x(1, 2, 2, 12)",11319.948172311948
293,"(0, 0, 2)x(2, 1, 0, 12)",11370.140537754894
294,"(2, 1, 0)x(2, 1, 0, 12)",11498.043345416212
295,"(1, 0, 2)x(0, 1, 2, 12)",11507.753640067927
296,"(1, 0, 1)x(2, 2, 1, 12)",11523.370180907908
297,"(1, 0, 0)x(1, 1, 0, 12)",11524.322124106335
298,"(0, 1, 0)x(1, 2, 0, 12)",11558.819774359008
299,"(1, 1, 0)x(1, 1, 1, 12)",11559.300112563526
300,"(1, 1, 1)x(1, 2, 0, 12)",11562.17531370729
301,"(2, 0, 2)x(2, 1, 0, 12)",11619.674732494293
302,"(1, 1, 0)x(1, 0, 0, 12)",11632.069126536322
303,"(0, 2, 2)x(0, 1, 2, 12)",11666.281859178838
304,"(1, 1, 0)x(0, 0, 1, 12)",11701.781233983713
305,"(1, 1, 0)x(0, 0, 0, 12)",11702.38488605951
306,"(0, 0, 0)x(1, 2, 0, 12)",11712.224328670223
307,"(0, 0, 2)x(1, 0, 0, 12)",11728.331709660668
308,"(0, 1, 1)x(1, 2, 0, 12)",11750.70614766853
309,"(1, 1, 0)x(2, 1, 0, 12)",11762.808646297852
310,"(2, 0, 1)x(0, 1, 0, 12)",11805.26849377511
311,"(2, 2, 1)x(1, 1, 0, 12)",11810.803289373309
312,"(0, 0, 1)x(1, 0, 0, 12)",11845.806051544392
313,"(0, 0, 2)x(0, 1, 0, 12)",11854.315276880288
314,"(0, 0, 0)x(0, 1, 0, 12)",11859.645538374989
315,"(0, 0, 1)x(0, 1, 0, 12)",11883.21570607865
316,"(1, 0, 0)x(1, 2, 0, 12)",11937.252627317263
317,"(0, 1, 1)x(0, 2, 2, 12)",11948.138724527775
318,"(0, 2, 1)x(2, 0, 1, 12)",11963.580005258727
319,"(1, 0, 2)x(1, 2, 0, 12)",11980.01994509031
320,"(0, 0, 1)x(2, 0, 2, 12)",12003.235950609915
321,"(0, 2, 2)x(1, 1, 1, 12)",12022.05395242578
322,"(0, 0, 2)x(1, 2, 0, 12)",12026.803023140015
323,"(0, 1, 0)x(1, 1, 0, 12)",12028.99418286491
324,"(1, 0, 1)x(0, 1, 0, 12)",12110.476743265934
325,"(0, 1, 2)x(1, 1, 1, 12)",12111.689315641079
326,"(0, 1, 0)x(2, 1, 0, 12)",12154.018240069428
327,"(1, 1, 1)x(1, 1, 1, 12)",12156.81629100289
328,"(1, 0, 0)x(1, 2, 2, 12)",12161.82077344198
329,"(0, 1, 2)x(0, 2, 2, 12)",12176.151010313846
330,"(0, 1, 0)x(1, 1, 1, 12)",12191.35053679473
331,"(0, 1, 2)x(2, 1, 2, 12)",12255.84308977393
332,"(0, 1, 2)x(2, 1, 0, 12)",12280.105862774812
333,"(1, 0, 2)x(0, 1, 0, 12)",12313.672018811143
334,"(0, 1, 1)x(1, 1, 1, 12)",12365.830186090561
335,"(0, 0, 1)x(2, 2, 1, 12)",12444.45845524055
336,"(1, 1, 0)x(0, 2, 1, 12)",12463.415083896854
337,"(2, 1, 1)x(2, 1, 0, 12)",12493.942931397218
338,"(0, 2, 2)x(1, 1, 0, 12)",12502.12507295841
339,"(1, 1, 0)x(0, 1, 0, 12)",12510.417940947234
340,"(0, 2, 1)x(2, 1, 2, 12)",12526.833474664663
341,"(1, 1, 2)x(2, 1, 0, 12)",12550.790660644054
342,"(0, 0, 1)x(0, 2, 2, 12)",12643.455382283599
343,"(2, 1, 1)x(0, 1, 2, 12)",12795.320137931065
344,"(1, 0, 0)x(2, 2, 2, 12)",12807.052126827184
345,"(0, 0, 2)x(1, 0, 2, 12)",12982.839237833003
346,"(1, 1, 2)x(2, 2, 0, 12)",13257.865026778121
347,"(0, 2, 2)x(0, 1, 1, 12)",13385.36683089285
348,"(1, 1, 0)x(0, 2, 2, 12)",13507.540582019335
349,"(1, 2, 1)x(1, 1, 1, 12)",13546.783336838489
350,"(2, 1, 0)x(1, 2, 0, 12)",13575.512701238871
351,"(2, 2, 0)x(1, 1, 1, 12)",13711.358608444776
352,"(2, 1, 1)x(1, 1, 1, 12)",13716.482988452126
353,"(1, 2, 1)x(2, 0, 0, 12)",13717.58152929953
354,"(1, 1, 2)x(1, 1, 1, 12)",13776.188438460204
355,"(2, 0, 0)x(0, 2, 1, 12)",13856.92528733154
356,"(1, 1, 2)x(1, 2, 0, 12)",13915.79588469252
357,"(2, 0, 2)x(2, 2, 0, 12)",14153.779946337128
358,"(1, 1, 1)x(2, 2, 1, 12)",14192.639986915645
359,"(1, 2, 1)x(2, 1, 0, 12)",14276.597119094173
360,"(1, 2, 1)x(2, 0, 1, 12)",14409.125525900354
361,"(2, 1, 1)x(0, 2, 1, 12)",14812.794455349158
362,"(2, 2, 2)x(1, 1, 2, 12)",14836.805922296611
363,"(0, 0, 0)x(0, 2, 1, 12)",14850.435977741612
364,"(0, 0, 1)x(0, 2, 1, 12)",14853.269277666397
365,"(1, 2, 1)x(1, 1, 0, 12)",14874.17637761715
366,"(2, 0, 1)x(0, 2, 1, 12)",14896.980659596305
367,"(0, 0, 2)x(0, 2, 1, 12)",14981.701072355783
368,"(1, 2, 2)x(0, 1, 1, 12)",15184.406031762472
369,"(1, 0, 0)x(0, 1, 0, 12)",15193.471203989524
370,"(0, 1, 1)x(2, 2, 2, 12)",15278.371998253531
371,"(1, 0, 1)x(0, 2, 1, 12)",15375.367323895945
372,"(1, 1, 1)x(2, 2, 2, 12)",15550.668560267344
373,"(1, 0, 2)x(0, 2, 1, 12)",15790.17050237282
374,"(0, 0, 0)x(0, 2, 2, 12)",16419.095358198603
375,"(2, 0, 2)x(0, 2, 1, 12)",16453.066176717013
376,"(2, 0, 2)x(2, 0, 1, 12)",16711.706291185274
377,"(2, 0, 1)x(1, 0, 2, 12)",16783.307472035976
