,params,rmse
0,"(2, 1, 2)x(2, 0, 0, 12)",3671.389140480684
1,"(1, 0, 2)x(1, 1, 2, 12)",3677.98364958271
2,"(0, 0, 1)x(1, 1, 0, 12)",3908.2615353260294
3,"(2, 0, 1)x(1, 1, 0, 12)",3924.60223286824
4,"(2, 0, 0)x(1, 1, 0, 12)",3953.936936322633
5,"(0, 0, 0)x(1, 2, 2, 12)",3962.444391807688
6,"(0, 0, 2)x(1, 1, 1, 12)",3976.868054710744
7,"(2, 0, 0)x(2, 1, 0, 12)",3982.8006894183545
8,"(2, 0, 2)x(1, 1, 0, 12)",3994.6563286239625
9,"(0, 0, 2)x(2, 1, 0, 12)",3995.9247572013273
10,"(1, 0, 1)x(2, 0, 0, 12)",4100.739468399668
11,"(2, 0, 0)x(2, 1, 1, 12)",4114.19726989952
12,"(0, 0, 0)x(2, 0, 0, 12)",4179.8641136051265
13,"(0, 0, 2)x(2, 1, 1, 12)",4197.58006581522
14,"(1, 0, 0)x(2, 1, 1, 12)",4258.232622806321
15,"(0, 0, 1)x(1, 1, 2, 12)",4294.28978155022
16,"(2, 1, 0)x(1, 2, 2, 12)",4554.955126286026
17,"(1, 2, 2)x(1, 1, 2, 12)",4603.272237153358
18,"(0, 0, 0)x(1, 1, 2, 12)",4648.3581121542
19,"(0, 0, 1)x(2, 1, 1, 12)",4672.084875091622
20,"(1, 2, 2)x(1, 2, 1, 12)",4691.739688392512
21,"(1, 1, 1)x(1, 1, 2, 12)",4727.95842965164
22,"(2, 0, 0)x(2, 2, 1, 12)",4816.979690070189
23,"(0, 1, 1)x(2, 0, 2, 12)",4849.770784921861
24,"(2, 2, 1)x(1, 1, 2, 12)",4861.662939568898
25,"(2, 1, 0)x(1, 2, 1, 12)",4939.292194925632
26,"(0, 0, 0)x(2, 1, 1, 12)",4961.412857996252
27,"(2, 0, 2)x(1, 1, 2, 12)",5009.04690708309
28,"(0, 0, 2)x(1, 2, 1, 12)",5013.181272755438
29,"(2, 0, 1)x(1, 2, 2, 12)",5081.060932350739
30,"(0, 1, 0)x(1, 2, 1, 12)",5114.48927155115
31,"(0, 0, 2)x(1, 1, 2, 12)",5129.476609223812
32,"(0, 1, 2)x(2, 0, 2, 12)",5188.034550494011
33,"(1, 0, 0)x(1, 1, 2, 12)",5261.099861410071
34,"(0, 1, 1)x(1, 1, 2, 12)",5359.634905435135
35,"(2, 1, 1)x(2, 0, 1, 12)",5479.668484641243
36,"(0, 0, 0)x(2, 2, 1, 12)",5527.215198810799
37,"(1, 1, 1)x(1, 0, 1, 12)",5588.274638528501
38,"(2, 1, 0)x(1, 0, 1, 12)",5629.267755841602
39,"(1, 0, 1)x(1, 1, 2, 12)",5647.078892140362
40,"(1, 0, 1)x(1, 2, 2, 12)",5653.950706591243
41,"(2, 1, 0)x(2, 2, 1, 12)",5751.073348666577
42,"(0, 1, 2)x(1, 1, 2, 12)",5763.017921494755
43,"(0, 0, 0)x(2, 0, 2, 12)",5792.115777231636
44,"(2, 0, 0)x(1, 1, 2, 12)",5802.982825485919
45,"(1, 2, 2)x(1, 0, 1, 12)",5856.498529624724
46,"(0, 1, 1)x(1, 0, 1, 12)",5863.3714365905425
47,"(0, 1, 2)x(1, 0, 1, 12)",5881.543864187514
48,"(0, 1, 0)x(1, 0, 1, 12)",5882.532074790208
49,"(1, 1, 2)x(1, 0, 1, 12)",5887.914052954897
50,"(1, 1, 0)x(1, 0, 1, 12)",5917.104012215663
51,"(0, 1, 0)x(1, 1, 2, 12)",5926.1392428404815
52,"(0, 1, 0)x(2, 0, 2, 12)",5953.685375966687
53,"(2, 1, 2)x(1, 0, 1, 12)",5959.103687579709
54,"(0, 0, 0)x(2, 1, 2, 12)",5973.233275540209
55,"(0, 0, 0)x(2, 2, 2, 12)",5973.560084985262
56,"(2, 0, 0)x(2, 1, 2, 12)",6029.205384176149
57,"(1, 1, 1)x(1, 1, 0, 12)",6059.293656529688
58,"(0, 2, 2)x(2, 0, 2, 12)",6068.486026948424
59,"(0, 1, 2)x(1, 2, 1, 12)",6090.756808529454
60,"(0, 2, 2)x(1, 0, 1, 12)",6100.389868457143
61,"(2, 1, 1)x(1, 0, 1, 12)",6111.998090562418
62,"(2, 2, 1)x(1, 0, 1, 12)",6134.635738118931
63,"(2, 2, 2)x(2, 0, 2, 12)",6161.694037929638
64,"(0, 0, 0)x(1, 1, 0, 12)",6222.182016924515
65,"(2, 2, 2)x(1, 0, 1, 12)",6272.3579422230005
66,"(0, 0, 0)x(1, 1, 1, 12)",6321.982477934216
67,"(0, 0, 0)x(2, 1, 0, 12)",6329.86377132445
68,"(2, 0, 1)x(2, 0, 2, 12)",6375.495085445624
69,"(1, 0, 0)x(1, 1, 0, 12)",6383.756772944378
70,"(2, 0, 1)x(1, 1, 1, 12)",6491.6681304885415
71,"(1, 0, 0)x(2, 1, 0, 12)",6501.042686137723
72,"(1, 0, 0)x(1, 1, 1, 12)",6553.079245514156
73,"(2, 1, 2)x(2, 0, 2, 12)",6561.888404741206
74,"(0, 0, 1)x(1, 1, 1, 12)",6569.457222939517
75,"(1, 0, 1)x(1, 1, 1, 12)",6643.033273787341
76,"(2, 0, 2)x(2, 1, 2, 12)",6651.481493591113
77,"(1, 2, 2)x(2, 0, 2, 12)",6686.941517184764
78,"(1, 2, 1)x(1, 2, 2, 12)",6712.880697714339
79,"(1, 0, 2)x(2, 2, 2, 12)",6726.98911701247
80,"(2, 1, 0)x(2, 0, 2, 12)",6730.765891016695
81,"(2, 1, 2)x(2, 1, 0, 12)",6736.194357461847
82,"(2, 1, 1)x(2, 1, 2, 12)",6782.521011031732
83,"(1, 0, 2)x(1, 1, 0, 12)",6787.9778608506185
84,"(0, 2, 2)x(1, 1, 2, 12)",6788.058713569571
85,"(2, 1, 2)x(1, 1, 0, 12)",6792.172957870339
86,"(2, 2, 1)x(2, 0, 2, 12)",6814.767336791254
87,"(1, 0, 1)x(2, 1, 2, 12)",6853.48200167384
88,"(1, 1, 0)x(2, 0, 0, 12)",6895.36881783421
89,"(1, 2, 2)x(2, 1, 1, 12)",6909.482044472417
90,"(2, 1, 0)x(1, 1, 2, 12)",7050.100497544454
91,"(1, 0, 2)x(2, 1, 0, 12)",7070.2425920441
92,"(2, 1, 2)x(1, 0, 2, 12)",7074.43893429257
93,"(1, 1, 2)x(2, 0, 0, 12)",7083.844217357078
94,"(1, 1, 0)x(1, 1, 2, 12)",7087.514375654331
95,"(1, 1, 0)x(2, 0, 1, 12)",7088.901952774438
96,"(2, 1, 0)x(2, 0, 0, 12)",7121.305412501285
97,"(0, 1, 2)x(2, 0, 0, 12)",7124.431555317745
98,"(1, 1, 1)x(2, 0, 0, 12)",7125.483547154849
99,"(0, 1, 0)x(2, 0, 1, 12)",7128.040811228288
100,"(1, 1, 0)x(1, 2, 2, 12)",7132.1762866270965
101,"(0, 1, 1)x(2, 0, 0, 12)",7134.287736878467
102,"(0, 0, 2)x(1, 1, 0, 12)",7134.948741127606
103,"(2, 0, 2)x(1, 2, 2, 12)",7182.987610461205
104,"(0, 1, 1)x(2, 0, 1, 12)",7185.298147584908
105,"(1, 1, 1)x(2, 0, 1, 12)",7190.753918673852
106,"(0, 1, 2)x(2, 0, 1, 12)",7214.317506126943
107,"(2, 1, 0)x(2, 0, 1, 12)",7233.193491525028
108,"(0, 1, 0)x(2, 0, 0, 12)",7306.375840397142
109,"(2, 1, 2)x(2, 1, 2, 12)",7307.114965792077
110,"(1, 1, 0)x(2, 0, 2, 12)",7334.349756185647
111,"(0, 1, 0)x(1, 2, 2, 12)",7335.88156382369
112,"(0, 1, 1)x(1, 2, 1, 12)",7337.006695801979
113,"(0, 1, 0)x(2, 1, 2, 12)",7414.81445867849
114,"(2, 1, 2)x(2, 1, 1, 12)",7491.090917858534
115,"(1, 0, 1)x(2, 0, 2, 12)",7518.76883198075
116,"(0, 0, 1)x(1, 2, 1, 12)",7540.112531562004
117,"(0, 1, 0)x(2, 2, 1, 12)",7628.319757218166
118,"(0, 2, 2)x(2, 0, 0, 12)",7630.085341390211
119,"(1, 1, 2)x(1, 1, 2, 12)",7698.735843407264
120,"(2, 1, 0)x(1, 1, 1, 12)",7724.071714190392
121,"(2, 1, 0)x(1, 1, 0, 12)",7727.002456878561
122,"(2, 1, 1)x(2, 0, 2, 12)",7770.306409714079
123,"(0, 1, 0)x(1, 0, 2, 12)",7852.8496937754835
124,"(1, 0, 2)x(1, 2, 1, 12)",7883.030882514757
125,"(0, 0, 2)x(2, 0, 2, 12)",8050.491876301028
126,"(2, 2, 2)x(1, 0, 2, 12)",8051.963724912481
127,"(0, 2, 2)x(1, 0, 2, 12)",8134.1961692279365
128,"(2, 0, 1)x(1, 2, 1, 12)",8163.65374904673
129,"(2, 0, 2)x(2, 1, 0, 12)",8169.924134689768
130,"(1, 0, 2)x(2, 0, 1, 12)",8229.345331670347
131,"(2, 0, 1)x(2, 1, 0, 12)",8329.284801625896
132,"(1, 0, 0)x(1, 2, 1, 12)",8437.227484632058
133,"(1, 0, 2)x(2, 1, 2, 12)",8439.418992460474
134,"(2, 0, 1)x(2, 2, 2, 12)",8558.480811271555
135,"(2, 1, 2)x(2, 0, 1, 12)",8608.528972259453
136,"(0, 1, 0)x(2, 1, 1, 12)",8727.03121494831
137,"(2, 1, 0)x(2, 1, 1, 12)",8844.231957914773
138,"(2, 1, 0)x(1, 0, 2, 12)",8923.208560365687
139,"(2, 0, 0)x(1, 1, 1, 12)",9021.749108235561
140,"(2, 2, 2)x(2, 1, 1, 12)",9026.195732941953
141,"(1, 0, 0)x(2, 0, 0, 12)",9047.965229150035
142,"(0, 1, 1)x(2, 2, 1, 12)",9054.473758809834
143,"(2, 0, 2)x(0, 1, 2, 12)",9077.042283348092
144,"(1, 0, 1)x(0, 1, 2, 12)",9110.195202323568
145,"(1, 1, 0)x(1, 2, 1, 12)",9114.837371844571
146,"(2, 0, 1)x(0, 2, 2, 12)",9137.093838686389
147,"(0, 1, 1)x(1, 0, 2, 12)",9155.902244841021
148,"(2, 1, 1)x(0, 1, 2, 12)",9177.704208756
149,"(1, 0, 2)x(1, 1, 1, 12)",9191.932094379186
150,"(1, 1, 1)x(0, 1, 2, 12)",9195.216035743042
151,"(0, 1, 2)x(1, 1, 1, 12)",9195.266658497138
152,"(1, 1, 0)x(0, 1, 1, 12)",9200.721119924754
153,"(1, 1, 2)x(0, 2, 2, 12)",9204.259959049177
154,"(0, 0, 1)x(0, 1, 1, 12)",9204.306596085535
